epoch,acc,loss,val_acc,val_loss
0,0.621744792,1.175957397,0.765375855,0.582315154
1,0.724609375,0.553319582,0.824601367,0.430278873
2,0.766276042,0.494081256,0.667425966,0.565529996
3,0.80859375,0.433659838,0.888382691,0.318772684
4,0.856119792,0.347022543,0.792710705,0.52144911
5,0.839192708,0.379547797,0.840546694,0.360808023
6,0.860677083,0.343669067,0.897494307,0.282010245
7,0.890625,0.279955624,0.879271072,0.326717283
8,0.856119792,0.361518307,0.886104786,0.353647707
9,0.883463542,0.288211378,0.902050112,0.277770329
10,0.88671875,0.286648059,0.899772206,0.302585718
11,0.899088542,0.264069889,0.902050113,0.256569288
12,0.90625,0.249338667,0.858769933,0.351493682
13,0.914713542,0.235818231,0.89066059,0.278310231
14,0.908203125,0.252686533,0.881548973,0.319091429
15,0.904947917,0.260316399,0.908883825,0.251118938
16,0.900390625,0.275519007,0.899772209,0.268791586
17,0.911458333,0.244570141,0.908883828,0.25997274
18,0.910807292,0.223703757,0.913439637,0.272404686
19,0.907552083,0.254363294,0.911161731,0.254629938
20,0.901692708,0.251062416,0.849658318,0.372664184
21,0.905598958,0.239366241,0.908883828,0.24972674
