epoch,acc,loss,val_acc,val_loss
0,0.690755208,1.069361714,0.854214122,0.404839682
1,0.860677083,0.377647844,0.881548973,0.306740254
2,0.895833333,0.275043606,0.895216401,0.362558894
3,0.919921875,0.230596444,0.917995448,0.255252225
4,0.925130208,0.213333882,0.915717543,0.259605893
5,0.934244792,0.202461582,0.879271074,0.313057047
6,0.930989583,0.207237893,0.933940774,0.192288287
7,0.934244792,0.174810614,0.940774484,0.186858041
8,0.94921875,0.165309032,0.93621868,0.176349149
9,0.94921875,0.15349107,0.945330295,0.166203289
10,0.950520833,0.156382482,0.943052393,0.153582663
11,0.943359375,0.151989714,0.945330297,0.154760399
12,0.94921875,0.157157397,0.956719815,0.15554924
13,0.948567708,0.148665316,0.956719817,0.154643652
14,0.955078125,0.143996254,0.952164011,0.137671395
15,0.95703125,0.154083928,0.954441912,0.137786821
16,0.958984375,0.128698985,0.956719815,0.148879094
17,0.95703125,0.132047022,0.952164011,0.147127799
18,0.958333333,0.124590893,0.961275625,0.135424193
19,0.94921875,0.153116378,0.95671982,0.134243919
20,0.952473958,0.127887234,0.954441912,0.148732808
21,0.954427083,0.140006496,0.958997722,0.14375301
22,0.95703125,0.137733688,0.952164009,0.142776734
23,0.961588542,0.115391639,0.956719815,0.145614859
24,0.960286458,0.120349323,0.954441912,0.175149067
25,0.961588542,0.113990085,0.958997725,0.139315517
26,0.958984375,0.115884974,0.95216401,0.180686451
27,0.956380208,0.118524513,0.961275629,0.137187392
28,0.965494792,0.114026032,0.958997724,0.150998019
29,0.95703125,0.117520496,0.968109336,0.154834854
