epoch,acc,loss,val_acc,val_loss
0,0.665364583,1.102761311,0.813211842,0.43279509
1,0.809895833,0.442459655,0.806378134,0.413304064
2,0.850911458,0.354809027,0.879271074,0.310653069
3,0.891927083,0.292741598,0.897494303,0.275382843
4,0.916666667,0.249389609,0.892938499,0.345352877
5,0.924479167,0.23060683,0.924829157,0.230598858
6,0.936197917,0.197213357,0.929384963,0.213104274
7,0.930338542,0.211990997,0.84738041,0.37325224
8,0.897135417,0.273030633,0.851936221,0.378977752
9,0.91796875,0.24155909,0.924829161,0.212896068
10,0.940104167,0.179123514,0.931662867,0.188319415
11,0.942708333,0.170893466,0.940774487,0.185381801
12,0.948567708,0.155795149,0.940774487,0.174570628
13,0.944010417,0.173423005,0.915717543,0.239119576
14,0.951171875,0.161338518,0.929384969,0.195568736
15,0.956380208,0.14866187,0.947608203,0.166939571
16,0.936197917,0.189500444,0.92255125,0.24059302
17,0.944661458,0.163310809,0.927107063,0.219434833
18,0.953776042,0.142300275,0.949886106,0.169544879
19,0.958333333,0.130650573,0.949886108,0.170200848
20,0.955078125,0.141205177,0.938496584,0.178471438
21,0.959635417,0.132410843,0.95444191,0.153943188
22,0.955729167,0.132596864,0.952164006,0.158615889
23,0.958333333,0.128481652,0.943052392,0.166762594
24,0.952473958,0.147780344,0.943052395,0.180765121
25,0.956380208,0.144458545,0.927107065,0.185394591
26,0.94921875,0.156276227,0.943052391,0.162329992
27,0.955078125,0.135735444,0.949886107,0.159050001
28,0.959635417,0.124804634,0.936218678,0.181973479
29,0.96484375,0.115428403,0.95444191,0.156207387
30,0.95703125,0.130917724,0.947608202,0.173948421
31,0.955078125,0.139078836,0.940774489,0.160559245
